driver_id,first_name,last_name,email,phone,city,vehicle_type,rating,joining_date
1,Scott,Roberts,davidweaver@example.net,820.488.5388,Bangalore,Sedan,4.7,2025-04-29
2,Joshua,Young,keymatthew@example.org,350-792-9125x340,Bangalore,SUV,4.5,2024-06-18
3,Whitney,Smith,alexis86@example.org,8334950355,Bangalore,Hatchback,3.8,2022-03-25
4,Brenda,Gay,johnwarren@example.net,8857478128,Mumbai,SUV,4.8,2024-02-18
5,Anna,Robinson,alicia43@example.com,6005885123,Chennai,Sedan,3.7,2022-02-24
6,Logan,Sullivan,doyleerik@example.net,+1-760-679-7427x21629,Chennai,Hatchback,4.6,2023-08-11
7,David,Mcgee,galvansuzanne@example.net,(885)789-8419x892,Pune,Sedan,4.4,2023-01-13
8,Autumn,Savage,brownjustin@example.net,311-360-9774x98861,Mumbai,Hatchback,4.6,2023-10-23
9,Sabrina,Rios,reyesjessica@example.com,001-540-732-2669x2213,Hyderabad,Bike,4.0,2026-05-02
10,Patricia,Parker,zhaney@example.net,(226)982-1515,Hyderabad,Sedan,4.9,2022-07-09
11,Kathy,Evans,tinaedwards@example.org,946-884-2225x4887,Hyderabad,Hatchback,4.2,2022-01-03
12,Deborah,Barrera,hernandezpeter@example.org,001-225-403-8984,Pune,SUV,3.8,2024-12-15
13,Diana,Alvarado,muellerxavier@example.com,468-470-0555x3021,Delhi,Sedan,4.6,2026-04-12
14,Dennis,Juarez,robertsimon@example.org,874-279-8448x254,Bangalore,Bike,3.7,2024-02-01
15,Nicholas,Moran,newmanlaura@example.net,500.575.0048,Pune,SUV,4.7,2022-10-23
16,Cindy,Castro,sarahmartin@example.com,001-580-280-0149x40199,Mumbai,Sedan,4.0,2023-07-28
17,Susan,Harris,sara71@example.org,001-396-450-8591x4583,Delhi,SUV,4.4,2022-04-26
18,Stephanie,Allen,smithkimberly@example.net,245-395-9644x01422,Chennai,Bike,3.7,2026-01-22
